votacoes_senado,status_senado,link_senado,link_camara,-,-,-,votacoes_camara,status_camara,link_senado,link_camara
PEC125-2011-2t,promulgada,-,-,,,,PLP112-2021,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/149849,https://www.camara.leg.br/propostas-legislativas/2292163
PEC13-2021-2t,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/148543,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2300880,,,,DTQ35-PL2337-2021,aprovado,-,-
PEC13-2021-1t,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/148543,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2300880,,,,PL2337-2021,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/149730,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2288389
PL2201-2021,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/148816,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2295252,,,,MPV1047-2021,tramita no Senado,https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/148281,
PLP108-2021,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/149107,https://www.camara.leg.br/propostas-legislativas/2295251,,,,PL5391-2020,tramita no Senado,,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2266116
PLP46-2021,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/147899,https://www.camara.leg.br/propostas-legislativas/2293712,,,,PL5829-2019,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/149862,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2228151
PLN3-2021,sancionado,-,-,,,,PEC125-2011-2t,promulgada,-,-
PEC18-2021-1t,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/148962,,,,,DTQ1-PEC125-2011-2t,aprovado,-,-
PEC18-2021-2t,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/148962,,,,,DTQ10-PEC125-2011-2t,aprovado,-,-
PL5613-2020,sancionado,-,-,,,,PL2522-2015,aguarda promulgação,,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=1594917
